group,official_test_index,fine_label,class_name
near,3630,58,pickup_truck
near,3644,34,fox
near,3655,58,pickup_truck
near,3663,97,wolf
near,3701,13,bus
near,3715,48,motorcycle
near,3731,97,wolf
near,3732,48,motorcycle
near,3747,97,wolf
near,3748,48,motorcycle
near,3755,13,bus
near,3760,34,fox
near,3817,97,wolf
near,3823,34,fox
near,3831,15,camel
near,3840,89,tractor
near,3849,97,wolf
near,3857,48,motorcycle
near,3868,13,bus
near,3877,97,wolf
near,3884,15,camel
near,3886,97,wolf
near,3887,13,bus
near,3893,48,motorcycle
near,3908,34,fox
near,3913,89,tractor
near,3927,97,wolf
near,3930,15,camel
near,3933,58,pickup_truck
near,3947,13,bus
near,3985,15,camel
near,4003,34,fox
near,4004,34,fox
near,4027,89,tractor
near,4028,48,motorcycle
near,4049,34,fox
near,4104,13,bus
near,4109,89,tractor
near,4118,42,leopard
near,4128,48,motorcycle
near,4129,13,bus
near,4147,48,motorcycle
near,4153,97,wolf
near,4173,13,bus
near,4182,34,fox
near,4185,13,bus
near,4201,13,bus
near,4225,97,wolf
near,4234,15,camel
near,4238,42,leopard
near,4255,34,fox
near,4264,34,fox
near,4277,34,fox
near,4278,42,leopard
near,4283,97,wolf
near,4285,97,wolf
near,4294,97,wolf
near,4296,13,bus
near,4307,13,bus
near,4313,34,fox
near,4316,58,pickup_truck
near,4320,42,leopard
near,4335,58,pickup_truck
near,4341,34,fox
near,4345,15,camel
near,4378,97,wolf
near,4387,58,pickup_truck
near,4404,89,tractor
near,4415,15,camel
near,4426,13,bus
near,4434,13,bus
near,4435,15,camel
near,4441,34,fox
near,4461,48,motorcycle
near,4463,58,pickup_truck
near,4464,13,bus
near,4468,13,bus
near,4470,97,wolf
near,4487,48,motorcycle
near,4506,58,pickup_truck
near,4515,58,pickup_truck
near,4517,89,tractor
near,4519,15,camel
near,4586,13,bus
near,4588,58,pickup_truck
near,4602,97,wolf
near,4609,42,leopard
near,4610,89,tractor
near,4611,42,leopard
near,4621,34,fox
near,4663,89,tractor
near,4677,42,leopard
near,4691,89,tractor
near,4693,58,pickup_truck
near,4703,34,fox
near,4706,34,fox
near,4731,89,tractor
near,4736,15,camel
near,4740,13,bus
near,4754,34,fox
near,4756,13,bus
near,4788,13,bus
near,4808,13,bus
near,4821,58,pickup_truck
near,4870,58,pickup_truck
near,4878,34,fox
near,4881,58,pickup_truck
near,4889,34,fox
near,4892,48,motorcycle
near,4894,15,camel
near,4927,48,motorcycle
near,4943,42,leopard
near,4960,48,motorcycle
near,4971,42,leopard
near,4991,34,fox
near,4992,42,leopard
near,4998,13,bus
near,5003,48,motorcycle
near,5008,58,pickup_truck
near,5009,58,pickup_truck
near,5015,13,bus
near,5016,42,leopard
near,5020,13,bus
near,5025,89,tractor
near,5029,15,camel
near,5031,97,wolf
near,5032,15,camel
near,5064,13,bus
near,5078,97,wolf
near,5084,34,fox
near,5109,42,leopard
near,5110,58,pickup_truck
near,5112,48,motorcycle
near,5113,15,camel
near,5114,48,motorcycle
near,5119,15,camel
near,5129,58,pickup_truck
near,5141,89,tractor
near,5142,42,leopard
near,5149,58,pickup_truck
near,5162,48,motorcycle
near,5163,13,bus
near,5175,48,motorcycle
near,5182,89,tractor
near,5184,13,bus
near,5185,42,leopard
near,5189,89,tractor
near,5201,13,bus
near,5210,42,leopard
near,5216,48,motorcycle
near,5218,15,camel
near,5231,42,leopard
near,5249,15,camel
near,5253,15,camel
near,5285,15,camel
near,5287,89,tractor
near,5291,97,wolf
near,5293,15,camel
near,5311,48,motorcycle
near,5314,89,tractor
near,5316,42,leopard
near,5317,58,pickup_truck
near,5327,89,tractor
near,5328,42,leopard
near,5342,48,motorcycle
near,5350,48,motorcycle
near,5399,42,leopard
near,5408,97,wolf
near,5425,97,wolf
near,5430,48,motorcycle
near,5437,58,pickup_truck
near,5445,89,tractor
near,5449,42,leopard
near,5455,15,camel
near,5458,42,leopard
near,5460,48,motorcycle
near,5465,13,bus
near,5469,48,motorcycle
near,5472,42,leopard
near,5478,42,leopard
near,5486,48,motorcycle
near,5494,15,camel
near,5495,89,tractor
near,5516,15,camel
near,5519,15,camel
near,5532,15,camel
near,5550,89,tractor
near,5568,58,pickup_truck
near,5572,48,motorcycle
near,5612,48,motorcycle
near,5619,34,fox
near,5634,13,bus
near,5650,48,motorcycle
near,5654,13,bus
near,5664,15,camel
near,5691,48,motorcycle
near,5696,89,tractor
near,5698,42,leopard
near,5715,58,pickup_truck
near,5726,34,fox
near,5732,58,pickup_truck
near,5736,58,pickup_truck
near,5738,58,pickup_truck
near,5748,13,bus
near,5756,58,pickup_truck
near,5762,15,camel
near,5781,97,wolf
near,5818,89,tractor
near,5819,42,leopard
near,5832,34,fox
near,5853,13,bus
near,5889,34,fox
near,5893,58,pickup_truck
near,5896,34,fox
near,5905,42,leopard
near,5911,97,wolf
near,5912,97,wolf
near,5920,13,bus
near,5932,58,pickup_truck
near,5945,34,fox
near,6010,97,wolf
near,6022,48,motorcycle
near,6037,15,camel
near,6044,15,camel
near,6055,42,leopard
near,6061,42,leopard
near,6063,89,tractor
near,6075,58,pickup_truck
near,6080,34,fox
near,6116,13,bus
near,6132,97,wolf
near,6144,48,motorcycle
near,6160,97,wolf
near,6162,34,fox
near,6163,34,fox
near,6176,13,bus
near,6178,97,wolf
near,6279,48,motorcycle
near,6293,42,leopard
near,6303,13,bus
near,6324,97,wolf
near,6339,13,bus
near,6343,48,motorcycle
near,6360,89,tractor
near,6379,89,tractor
near,6382,48,motorcycle
near,6395,42,leopard
near,6398,89,tractor
near,6401,42,leopard
near,6409,42,leopard
near,6411,13,bus
near,6416,48,motorcycle
near,6417,15,camel
near,6418,15,camel
near,6430,89,tractor
near,6433,97,wolf
near,6447,97,wolf
near,6449,48,motorcycle
near,6469,34,fox
near,6475,15,camel
near,6505,34,fox
near,6528,97,wolf
near,6545,34,fox
near,6546,89,tractor
near,6547,48,motorcycle
near,6552,97,wolf
near,6561,97,wolf
near,6574,58,pickup_truck
near,6616,15,camel
near,6652,97,wolf
near,6653,58,pickup_truck
near,6693,34,fox
near,6712,13,bus
near,6730,48,motorcycle
near,6735,42,leopard
near,6746,97,wolf
near,6767,42,leopard
near,6778,15,camel
near,6791,13,bus
near,6807,89,tractor
near,6816,34,fox
near,6866,89,tractor
near,6914,48,motorcycle
near,6924,42,leopard
near,6930,89,tractor
near,6954,48,motorcycle
near,6967,97,wolf
near,7006,89,tractor
near,7021,34,fox
near,7028,97,wolf
near,7078,42,leopard
near,7086,89,tractor
near,7087,97,wolf
near,7109,48,motorcycle
near,7110,48,motorcycle
near,7119,58,pickup_truck
near,7125,97,wolf
near,7128,15,camel
near,7131,58,pickup_truck
near,7133,13,bus
near,7135,97,wolf
near,7141,34,fox
near,7146,89,tractor
near,7160,48,motorcycle
near,7194,15,camel
near,7200,15,camel
near,7207,58,pickup_truck
near,7209,48,motorcycle
near,7225,34,fox
near,7248,34,fox
near,7249,48,motorcycle
near,7279,34,fox
near,7283,42,leopard
near,7289,48,motorcycle
near,7298,15,camel
near,7308,97,wolf
near,7317,34,fox
near,7333,15,camel
near,7367,42,leopard
near,7373,34,fox
near,7375,97,wolf
near,7376,13,bus
near,7379,15,camel
near,7388,89,tractor
near,7389,58,pickup_truck
near,7407,42,leopard
near,7412,42,leopard
near,7417,42,leopard
near,7427,42,leopard
near,7441,13,bus
near,7445,15,camel
near,7471,48,motorcycle
near,7472,97,wolf
near,7489,48,motorcycle
near,7495,42,leopard
near,7503,34,fox
near,7507,89,tractor
near,7508,13,bus
near,7559,58,pickup_truck
near,7561,97,wolf
near,7564,34,fox
near,7567,13,bus
near,7569,48,motorcycle
near,7570,58,pickup_truck
near,7582,97,wolf
near,7590,89,tractor
near,7609,42,leopard
near,7621,34,fox
near,7640,48,motorcycle
near,7643,89,tractor
near,7650,97,wolf
near,7658,58,pickup_truck
near,7660,89,tractor
near,7736,89,tractor
near,7750,15,camel
near,7752,97,wolf
near,7772,42,leopard
near,7799,34,fox
near,7800,15,camel
near,7806,48,motorcycle
near,7812,13,bus
near,7816,13,bus
near,7823,58,pickup_truck
near,7829,89,tractor
near,7866,58,pickup_truck
near,7871,48,motorcycle
near,7875,97,wolf
near,7884,89,tractor
near,7900,58,pickup_truck
near,7912,15,camel
near,7924,34,fox
near,7950,42,leopard
near,7962,58,pickup_truck
near,7973,34,fox
near,7974,42,leopard
near,7980,97,wolf
near,7994,58,pickup_truck
near,7999,58,pickup_truck
near,8023,13,bus
near,8026,89,tractor
near,8082,58,pickup_truck
near,8085,13,bus
near,8100,34,fox
near,8101,97,wolf
near,8109,34,fox
near,8126,13,bus
near,8132,34,fox
near,8141,89,tractor
near,8143,15,camel
near,8150,34,fox
near,8165,58,pickup_truck
near,8169,89,tractor
near,8183,48,motorcycle
near,8185,34,fox
near,8187,34,fox
near,8219,58,pickup_truck
near,8231,15,camel
near,8257,48,motorcycle
near,8258,89,tractor
near,8300,48,motorcycle
near,8310,42,leopard
near,8324,42,leopard
near,8329,89,tractor
near,8334,42,leopard
near,8381,34,fox
near,8391,58,pickup_truck
near,8405,34,fox
near,8407,97,wolf
near,8418,97,wolf
near,8447,15,camel
near,8454,42,leopard
near,8455,58,pickup_truck
near,8457,48,motorcycle
near,8460,48,motorcycle
near,8497,13,bus
near,8503,58,pickup_truck
near,8504,42,leopard
near,8519,58,pickup_truck
near,8535,97,wolf
near,8580,89,tractor
near,8596,13,bus
near,8598,15,camel
near,8604,15,camel
near,8609,13,bus
near,8618,34,fox
near,8627,48,motorcycle
near,8634,97,wolf
near,8648,15,camel
near,8655,13,bus
near,8663,13,bus
near,8672,34,fox
near,8693,58,pickup_truck
near,8695,42,leopard
near,8713,97,wolf
near,8715,34,fox
near,8717,13,bus
near,8731,34,fox
near,8732,15,camel
near,8735,34,fox
near,8762,34,fox
near,8763,48,motorcycle
near,8774,42,leopard
near,8780,15,camel
near,8800,15,camel
near,8834,15,camel
near,8904,42,leopard
near,8906,89,tractor
near,8918,97,wolf
near,8920,13,bus
near,8929,48,motorcycle
near,8942,89,tractor
near,8944,58,pickup_truck
near,8947,58,pickup_truck
near,8953,58,pickup_truck
near,8958,13,bus
near,8960,97,wolf
near,8966,58,pickup_truck
near,8981,48,motorcycle
near,8996,89,tractor
near,9007,48,motorcycle
near,9014,15,camel
near,9017,48,motorcycle
near,9019,89,tractor
near,9027,13,bus
near,9030,58,pickup_truck
near,9039,89,tractor
near,9058,42,leopard
near,9081,58,pickup_truck
near,9093,15,camel
near,9110,15,camel
near,9142,15,camel
near,9148,34,fox
near,9187,42,leopard
near,9203,89,tractor
near,9205,48,motorcycle
near,9231,97,wolf
near,9232,13,bus
near,9238,42,leopard
near,9252,13,bus
near,9259,89,tractor
near,9261,42,leopard
near,9266,15,camel
near,9276,48,motorcycle
near,9288,89,tractor
near,9317,97,wolf
near,9318,42,leopard
near,9345,48,motorcycle
near,9346,97,wolf
near,9362,15,camel
near,9368,58,pickup_truck
near,9377,58,pickup_truck
near,9388,58,pickup_truck
near,9395,89,tractor
near,9406,42,leopard
near,9412,15,camel
near,9429,58,pickup_truck
near,9447,58,pickup_truck
near,9453,34,fox
near,9496,34,fox
near,9504,58,pickup_truck
near,9531,15,camel
near,9546,13,bus
near,9572,13,bus
near,9575,42,leopard
near,9587,97,wolf
near,9611,15,camel
near,9612,42,leopard
near,9647,15,camel
near,9654,48,motorcycle
near,9662,58,pickup_truck
near,9673,89,tractor
near,9676,58,pickup_truck
near,9686,34,fox
near,9704,89,tractor
near,9708,89,tractor
near,9743,15,camel
near,9768,97,wolf
near,9790,97,wolf
near,9807,89,tractor
near,9815,13,bus
near,9833,48,motorcycle
near,9835,13,bus
near,9842,34,fox
near,9871,58,pickup_truck
near,9878,58,pickup_truck
near,9880,58,pickup_truck
near,9886,97,wolf
near,9914,42,leopard
near,9922,89,tractor
near,9927,58,pickup_truck
near,9930,13,bus
near,9936,42,leopard
near,9942,97,wolf
near,9948,97,wolf
near,9965,97,wolf
near,9969,89,tractor
near,9998,42,leopard
far,3,51,mushroom
far,26,39,keyboard
far,30,20,chair
far,45,22,clock
far,52,9,bottle
far,67,82,sunflower
far,76,82,sunflower
far,77,10,bowl
far,79,22,clock
far,90,22,clock
far,111,20,chair
far,114,9,bottle
far,121,10,bowl
far,125,20,chair
far,147,39,keyboard
far,148,51,mushroom
far,157,20,chair
far,163,10,bowl
far,168,51,mushroom
far,170,9,bottle
far,180,39,keyboard
far,182,22,clock
far,194,94,wardrobe
far,220,94,wardrobe
far,238,82,sunflower
far,249,39,keyboard
far,271,51,mushroom
far,318,10,bowl
far,328,94,wardrobe
far,340,9,bottle
far,348,10,bowl
far,349,10,bowl
far,361,39,keyboard
far,363,94,wardrobe
far,365,10,bowl
far,378,94,wardrobe
far,427,10,bowl
far,433,51,mushroom
far,439,10,bowl
far,447,22,clock
far,450,22,clock
far,451,22,clock
far,452,10,bowl
far,455,9,bottle
far,562,20,chair
far,575,9,bottle
far,582,82,sunflower
far,583,22,clock
far,588,10,bowl
far,594,9,bottle
far,599,39,keyboard
far,611,82,sunflower
far,613,20,chair
far,618,22,clock
far,621,39,keyboard
far,629,82,sunflower
far,645,82,sunflower
far,647,94,wardrobe
far,649,22,clock
far,662,94,wardrobe
far,665,82,sunflower
far,703,10,bowl
far,714,82,sunflower
far,734,94,wardrobe
far,749,82,sunflower
far,771,39,keyboard
far,786,22,clock
far,788,82,sunflower
far,797,94,wardrobe
far,806,10,bowl
far,823,22,clock
far,839,39,keyboard
far,840,20,chair
far,864,9,bottle
far,865,10,bowl
far,870,22,clock
far,874,10,bowl
far,880,20,chair
far,909,51,mushroom
far,911,39,keyboard
far,932,9,bottle
far,934,22,clock
far,953,51,mushroom
far,954,10,bowl
far,963,51,mushroom
far,976,82,sunflower
far,997,9,bottle
far,1002,94,wardrobe
far,1015,9,bottle
far,1032,51,mushroom
far,1041,10,bowl
far,1045,9,bottle
far,1052,39,keyboard
far,1054,20,chair
far,1076,20,chair
far,1097,82,sunflower
far,1122,82,sunflower
far,1130,9,bottle
far,1135,9,bottle
far,1138,51,mushroom
far,1163,22,clock
far,1175,51,mushroom
far,1196,51,mushroom
far,1231,82,sunflower
far,1264,39,keyboard
far,1273,51,mushroom
far,1310,22,clock
far,1318,9,bottle
far,1341,20,chair
far,1362,94,wardrobe
far,1410,10,bowl
far,1415,94,wardrobe
far,1428,22,clock
far,1429,9,bottle
far,1434,20,chair
far,1438,9,bottle
far,1448,10,bowl
far,1454,51,mushroom
far,1470,94,wardrobe
far,1484,51,mushroom
far,1487,9,bottle
far,1495,39,keyboard
far,1508,94,wardrobe
far,1514,9,bottle
far,1525,20,chair
far,1542,82,sunflower
far,1546,39,keyboard
far,1557,10,bowl
far,1560,22,clock
far,1562,9,bottle
far,1586,22,clock
far,1599,39,keyboard
far,1610,20,chair
far,1641,94,wardrobe
far,1642,39,keyboard
far,1652,20,chair
far,1674,20,chair
far,1680,10,bowl
far,1696,10,bowl
far,1713,82,sunflower
far,1714,10,bowl
far,1740,20,chair
far,1760,51,mushroom
far,1781,82,sunflower
far,1782,51,mushroom
far,1789,20,chair
far,1792,20,chair
far,1806,22,clock
far,1807,22,clock
far,1809,10,bowl
far,1818,82,sunflower
far,1820,51,mushroom
far,1837,94,wardrobe
far,1862,94,wardrobe
far,1865,10,bowl
far,1875,22,clock
far,1899,9,bottle
far,1909,94,wardrobe
far,1927,22,clock
far,1930,22,clock
far,1932,9,bottle
far,1944,94,wardrobe
far,1947,20,chair
far,1963,39,keyboard
far,1982,22,clock
far,1987,51,mushroom
far,2005,51,mushroom
far,2011,9,bottle
far,2023,39,keyboard
far,2037,39,keyboard
far,2038,82,sunflower
far,2052,39,keyboard
far,2055,39,keyboard
far,2086,20,chair
far,2108,20,chair
far,2109,10,bowl
far,2125,22,clock
far,2134,94,wardrobe
far,2152,20,chair
far,2161,20,chair
far,2169,22,clock
far,2176,10,bowl
far,2181,39,keyboard
far,2189,22,clock
far,2200,51,mushroom
far,2207,22,clock
far,2213,22,clock
far,2223,22,clock
far,2232,51,mushroom
far,2243,82,sunflower
far,2269,20,chair
far,2295,10,bowl
far,2300,10,bowl
far,2302,10,bowl
far,2314,9,bottle
far,2332,51,mushroom
far,2384,51,mushroom
far,2386,20,chair
far,2389,20,chair
far,2425,10,bowl
far,2428,9,bottle
far,2432,94,wardrobe
far,2446,82,sunflower
far,2453,94,wardrobe
far,2463,22,clock
far,2470,20,chair
far,2475,22,clock
far,2487,22,clock
far,2510,9,bottle
far,2533,22,clock
far,2545,82,sunflower
far,2550,9,bottle
far,2557,94,wardrobe
far,2562,39,keyboard
far,2576,20,chair
far,2577,20,chair
far,2579,51,mushroom
far,2586,22,clock
far,2620,51,mushroom
far,2627,39,keyboard
far,2650,39,keyboard
far,2656,10,bowl
far,2661,20,chair
far,2670,10,bowl
far,2684,20,chair
far,2715,94,wardrobe
far,2729,39,keyboard
far,2740,82,sunflower
far,2790,10,bowl
far,2797,10,bowl
far,2802,20,chair
far,2811,82,sunflower
far,2815,22,clock
far,2822,9,bottle
far,2831,82,sunflower
far,2836,22,clock
far,2856,82,sunflower
far,2915,94,wardrobe
far,2917,20,chair
far,2936,22,clock
far,2937,51,mushroom
far,2945,22,clock
far,2963,9,bottle
far,2965,20,chair
far,2972,82,sunflower
far,2980,51,mushroom
far,2989,82,sunflower
far,2993,9,bottle
far,3011,9,bottle
far,3015,94,wardrobe
far,3039,51,mushroom
far,3053,94,wardrobe
far,3078,10,bowl
far,3089,82,sunflower
far,3091,10,bowl
far,3095,10,bowl
far,3115,82,sunflower
far,3122,9,bottle
far,3139,39,keyboard
far,3149,94,wardrobe
far,3186,20,chair
far,3203,20,chair
far,3209,10,bowl
far,3210,22,clock
far,3216,9,bottle
far,3232,9,bottle
far,3247,39,keyboard
far,3253,10,bowl
far,3282,22,clock
far,3286,20,chair
far,3293,20,chair
far,3298,39,keyboard
far,3299,20,chair
far,3304,10,bowl
far,3305,51,mushroom
far,3316,9,bottle
far,3317,20,chair
far,3322,20,chair
far,3337,51,mushroom
far,3347,39,keyboard
far,3348,10,bowl
far,3349,20,chair
far,3350,9,bottle
far,3352,51,mushroom
far,3373,10,bowl
far,3378,94,wardrobe
far,3386,82,sunflower
far,3402,82,sunflower
far,3409,20,chair
far,3429,82,sunflower
far,3444,9,bottle
far,3470,39,keyboard
far,3493,51,mushroom
far,3502,51,mushroom
far,3507,10,bowl
far,3548,9,bottle
far,3559,82,sunflower
far,3568,20,chair
far,3579,39,keyboard
far,3586,39,keyboard
far,3609,94,wardrobe
far,3636,51,mushroom
far,3659,22,clock
far,3683,22,clock
far,3684,51,mushroom
far,3693,39,keyboard
far,3702,94,wardrobe
far,3705,94,wardrobe
far,3716,39,keyboard
far,3728,10,bowl
far,3730,10,bowl
far,3734,51,mushroom
far,3742,51,mushroom
far,3759,51,mushroom
far,3765,10,bowl
far,3770,82,sunflower
far,3787,94,wardrobe
far,3806,94,wardrobe
far,3853,94,wardrobe
far,3855,39,keyboard
far,3863,10,bowl
far,3872,39,keyboard
far,3888,9,bottle
far,3906,9,bottle
far,3912,20,chair
far,3924,94,wardrobe
far,3942,82,sunflower
far,3952,10,bowl
far,3962,51,mushroom
far,3968,51,mushroom
far,3975,82,sunflower
far,4010,20,chair
far,4022,51,mushroom
far,4031,94,wardrobe
far,4033,94,wardrobe
far,4034,94,wardrobe
far,4061,20,chair
far,4065,9,bottle
far,4077,9,bottle
far,4087,94,wardrobe
far,4103,82,sunflower
far,4125,20,chair
far,4151,10,bowl
far,4159,20,chair
far,4171,94,wardrobe
far,4174,22,clock
far,4183,39,keyboard
far,4186,20,chair
far,4206,22,clock
far,4208,94,wardrobe
far,4214,20,chair
far,4245,94,wardrobe
far,4252,10,bowl
far,4259,20,chair
far,4269,51,mushroom
far,4321,22,clock
far,4325,9,bottle
far,4332,9,bottle
far,4334,9,bottle
far,4348,10,bowl
far,4367,10,bowl
far,4369,22,clock
far,4373,51,mushroom
far,4376,82,sunflower
far,4382,94,wardrobe
far,4383,39,keyboard
far,4386,10,bowl
far,4394,51,mushroom
far,4417,51,mushroom
far,4444,20,chair
far,4466,94,wardrobe
far,4471,10,bowl
far,4475,22,clock
far,4514,51,mushroom
far,4520,10,bowl
far,4631,94,wardrobe
far,4656,22,clock
far,4668,20,chair
far,4670,39,keyboard
far,4683,9,bottle
far,4704,22,clock
far,4708,9,bottle
far,4722,20,chair
far,4734,94,wardrobe
far,4746,82,sunflower
far,4769,22,clock
far,4771,22,clock
far,4779,22,clock
far,4785,82,sunflower
far,4800,39,keyboard
far,4804,39,keyboard
far,4809,39,keyboard
far,4818,9,bottle
far,4830,10,bowl
far,4838,39,keyboard
far,4847,20,chair
far,4848,9,bottle
far,4851,82,sunflower
far,4859,22,clock
far,4863,10,bowl
far,4910,94,wardrobe
far,4918,20,chair
far,4933,94,wardrobe
far,4947,94,wardrobe
far,4956,9,bottle
far,4968,51,mushroom
far,4981,9,bottle
far,4982,51,mushroom
far,4986,22,clock
far,4999,39,keyboard
far,5002,82,sunflower
far,5005,82,sunflower
far,5030,9,bottle
far,5082,94,wardrobe
far,5083,10,bowl
far,5096,20,chair
far,5102,9,bottle
far,5127,10,bowl
far,5147,22,clock
far,5155,82,sunflower
far,5181,82,sunflower
far,5215,94,wardrobe
far,5219,51,mushroom
far,5236,22,clock
far,5250,39,keyboard
far,5260,82,sunflower
far,5282,10,bowl
far,5319,22,clock
far,5324,9,bottle
far,5333,94,wardrobe
far,5354,51,mushroom
far,5364,22,clock
far,5375,51,mushroom
far,5378,39,keyboard
far,5386,51,mushroom
far,5387,94,wardrobe
far,5414,22,clock
far,5428,94,wardrobe
far,5440,9,bottle
far,5444,10,bowl
far,5473,20,chair
far,5484,51,mushroom
far,5505,39,keyboard
far,5508,10,bowl
far,5565,94,wardrobe
far,5573,82,sunflower
far,5577,39,keyboard
far,5587,94,wardrobe
far,5603,20,chair
far,5627,51,mushroom
far,5633,39,keyboard
far,5638,51,mushroom
far,5643,94,wardrobe
